,0
earnings,0.058024481468888126
tech,0.056902414144848666
patent,0.04904794287657259
amid,0.04792587555253315
time,0.047925875552533144
wireless,0.04736484189051342
microsoft,0.04512070724243453
iphone,0.04175450527031621
critical,0.041193471608296485
change,0.04119347160829647
lower,0.04063243794627678
technology,0.04007140428425705
china,0.04007140428425704
eu,0.039510370622237334
french,0.038949336960217615
report,0.03838830329819788
value,0.037266235974158436
chip,0.03670520231213875
tell,0.03670520231213874
fund,0.03670520231213872
gain,0.03614416865011901
passive,0.03614416865011901
launch,0.036144168650119005
profit,0.036144168650119
korean,0.035583134988099306
qcom,0.035583134988099306
app,0.0355831349880993
track,0.035583134988099285
etf,0.035583134988099265
bio,0.035022101326079594
