,0
store,0.0629644921552436
china,0.05666509378317801
street,0.05194054500412883
home,0.04984074554677362
fund,0.049315795682434854
google,0.04826589595375726
dollar,0.046691046360740826
facebook,0.04564114663206327
follow,0.04511619676772445
india,0.04354134717470804
eye,0.041966497581691624
cyber,0.04144154771735286
important,0.041441547717352825
profit,0.040916597853014075
development,0.04091659785301404
tech,0.040391647988675256
track,0.040391647988675235
venture,0.040391647988675235
passive,0.040391647988675214
australian,0.03934174825999763
release,0.03829184853132006
nasdaq,0.037766898666981255
gain,0.037241948802642456
bounce,0.03671699893830367
way,0.03619204907396488
game,0.03619204907396486
ranked,0.035667099209626074
calendar,0.03566709920962606
breakout,0.03514214934528731
direction,0.035142149345287296
